"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.013,0.014,0.016,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,31.833,83.104,110.833,31.01,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.00322,0.0075992,0.0119784,0.0048,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,7.55,8.6375,9.8,0.9516,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.007,0.007,0.007,NA,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.017,0.017,0.018,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.823,9.815,10.807,1.403,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",6,52.5,63.333,80,10.646,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,23.166,52.596,72,21.211,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",6,0.011592,0.082432,0.280784,0.076,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,4.92,8.6,11.56,2.646,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.005,0.006,0.007,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,88.25,88.25,88.25,0,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.485576,0.485576,0.485576,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.011,0.012,0.013,0.00113,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,9.7545,10.7814,11.8083,1.4522,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.02576,0.445648,1.554616,0.576,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,82.4,82.4,82.4,NA,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",6,0.00644,0.07728,0.203504,0.063,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.842,7.342,7.842,0.707,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,75.2,81.15,87.1,8.4146,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.016,0.017,0.019,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.00644,0.23184,0.419888,0.151,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.005152,0.005152,0.005152,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.99176,1.6744,2.290064,0.437,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.044,8.05,10.055,2.83628,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.954,10.077,11.2,1.587,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.214,8.963,9.712,1.059,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.0123,0.013,0.0137,7e-04,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,64.625,74.241,83.857,13.599,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,2.933,4.224,5.75,1.166,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.2,9.135,10.071,1.323,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,71.5556,71.5556,71.5556,0,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.011,0.016,0.021,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,68,73,78,7.071,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,65,65.65,66.3,0.919,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.054,0.078,0.112,0.022,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,8.72,9.957,11.442,1.121,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,9.545,10.832,11.518,1.115,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.38,9.62,10.86,1.753,"SFS 3040 SFS-EN 25813"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,54,57.833,65.333,5.117,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",3,0.0834624,0.1170792,0.1361416,0.0227,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,8.35,9.2417,9.95,0.6028,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.079,0.094,0.115,0.014,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",7,0.034,0.041,0.052,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.033,0.0373,0.0417,0.0061,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.8,9.95,11.1,1.6263,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.17,6.58,8.2,1.476,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,6.9,7.15,7.4,0.353553390593274,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,83.125,83.125,83.125,0,"SFS 3040"
